,names,wikipedia_snippit,Sentiment
0,apple,An apple is an edible fruit produced by an apple tree (Malus domestica).,NEUTRAL
1,google,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware.",NEUTRAL
2,google,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware.",NEUTRAL
3,google,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware.",NEUTRAL
4,facebook,"Facebook (stylized as facebook) is an American online social media and social networking service based in Menlo Park, California, and a flagship service of the namesake company Facebook, Inc.",NEUTRAL
5,apple,An apple is an edible fruit produced by an apple tree (Malus domestica).,NEUTRAL
6,google,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware.",NEUTRAL
7,facebook,"Facebook (stylized as facebook) is an American online social media and social networking service based in Menlo Park, California, and a flagship service of the namesake company Facebook, Inc.",NEUTRAL
8,google,"Google LLC is an American multinational technology company that specializes in Internet-related services and products, which include online advertising technologies, a search engine, cloud computing, software, and hardware.",NEUTRAL
9,apple,An apple is an edible fruit produced by an apple tree (Malus domestica).,NEUTRAL
